Date,Open,High,Low,Close,Adj Close,Volume
29-10-2019,2121.5,2201.699951,2121.5,2194.850098,2059.603516,5064173
30-10-2019,2225,2260,2176.850098,2252.800049,2113.982178,5195136
31-10-2019,2250,2284.949951,2237,2269.649902,2129.793945,4879261
01-11-2019,2264,2275,2195,2200.899902,2065.280762,4172620
04-11-2019,2207,2229.199951,2180.899902,2193.949951,2058.758789,2646411
05-11-2019,2197,2211,2169,2201.850098,2066.171875,2693475
06-11-2019,2200,2210.800049,2179,2188.5,2053.644775,2540719
07-11-2019,2204.5,2204.5,2175.199951,2185.350098,2050.688965,1915598
08-11-2019,2189.600098,2189.600098,2124,2129.949951,1998.702515,2788759
11-11-2019,2135,2139,2091,2100.949951,1971.489258,2983768
13-11-2019,2118,2183.800049,2118,2178.600098,2044.354736,3823365
14-11-2019,2187.5,2200,2146.699951,2196.800049,2061.43335,2995915
15-11-2019,2196,2211.5,2168.75,2174.449951,2040.460449,2724180
18-11-2019,2178.399902,2187.75,2148.75,2152.600098,2019.956421,1611089
19-11-2019,2153,2154.649902,2105,2108.800049,1978.855713,2975313
20-11-2019,2121.949951,2135,2094.5,2108.550049,1978.621094,2894129
21-11-2019,2112,2126.600098,2107.399902,2118.100098,1987.582642,2052574
22-11-2019,2097,2107,2060.5,2071.699951,1944.041748,3742049
25-11-2019,2074.550049,2084.949951,2052.199951,2081.5,1953.237793,2737010
26-11-2019,2089.850098,2097.899902,2035.050049,2046.650024,1920.5354,6561580
27-11-2019,2052,2071.699951,2046.550049,2054.300049,1927.714355,2907521
28-11-2019,2067.050049,2094.399902,2060,2077.350098,1949.343872,2924429
29-11-2019,2085,2085,2045.800049,2053.25,1926.72876,2064271
02-12-2019,2060,2067.699951,2016,2021.050049,1896.512817,3809860
03-12-2019,2027.699951,2062,2010,2051,1924.61731,4664774
04-12-2019,2053,2082,2045.5,2078.5,1950.422852,3334301
